latitude,longitude,course_count,course_list
42,-84,0,
42.05,-84,0,
42.1,-84,0,
42.15,-84,0,
42.2,-84,0,
42.25,-84,0,
42.3,-84,0,
42.35,-84,0,
42.4,-84,0,
42.45,-84,0,
42.5,-84,0,
42.55,-84,0,
42.6,-84,0,
42.65,-84,0,
42.7,-84,0,
42.75,-84,0,
42.8,-84,0,
42.85,-84,0,
42.9,-84,0,
42.95,-84,0,
43,-84,0,
43.05,-84,0,
42,-83.95,0,
42.05,-83.95,0,
42.1,-83.95,0,
42.15,-83.95,0,
42.2,-83.95,0,
42.25,-83.95,0,
42.3,-83.95,0,
42.35,-83.95,0,
42.4,-83.95,0,
42.45,-83.95,0,
42.5,-83.95,0,
42.55,-83.95,0,
42.6,-83.95,0,
42.65,-83.95,0,
42.7,-83.95,0,
42.75,-83.95,0,
42.8,-83.95,0,
42.85,-83.95,0,
42.9,-83.95,0,
42.95,-83.95,0,
43,-83.95,0,
43.05,-83.95,0,
42,-83.9,0,
42.05,-83.9,0,
42.1,-83.9,0,
42.15,-83.9,0,
42.2,-83.9,0,
42.25,-83.9,0,
42.3,-83.9,0,
42.35,-83.9,0,
42.4,-83.9,0,
42.45,-83.9,0,
42.5,-83.9,1,
42.55,-83.9,2,
42.6,-83.9,2,
42.65,-83.9,2,
42.7,-83.9,1,
42.75,-83.9,0,
42.8,-83.9,0,
42.85,-83.9,0,
42.9,-83.9,0,
42.95,-83.9,0,
43,-83.9,0,
43.05,-83.9,0,
42,-83.85,0,
42.05,-83.85,0,
42.1,-83.85,0,
42.15,-83.85,0,
42.2,-83.85,0,
42.25,-83.85,0,
42.3,-83.85,2,
42.35,-83.85,3,
42.4,-83.85,5,
42.45,-83.85,7,
42.5,-83.85,8,
42.55,-83.85,4,
42.6,-83.85,4,
42.65,-83.85,3,
42.7,-83.85,3,
42.75,-83.85,2,
42.8,-83.85,0,
42.85,-83.85,0,
42.9,-83.85,0,
42.95,-83.85,0,
43,-83.85,0,
43.05,-83.85,0,
42,-83.8,0,
42.05,-83.8,0,
42.1,-83.8,0,
42.15,-83.8,0,
42.2,-83.8,0,
42.25,-83.8,1,
42.3,-83.8,4,
42.35,-83.8,7,
42.4,-83.8,9,
42.45,-83.8,10,
42.5,-83.8,12,
42.55,-83.8,13,
42.6,-83.8,9,
42.65,-83.8,7,
42.7,-83.8,4,
42.75,-83.8,5,
42.8,-83.8,4,
42.85,-83.8,0,
42.9,-83.8,0,
42.95,-83.8,0,
43,-83.8,0,
43.05,-83.8,0,
42,-83.75,0,
42.05,-83.75,0,
42.1,-83.75,0,
42.15,-83.75,0,
42.2,-83.75,2,
42.25,-83.75,6,
42.3,-83.75,8,
42.35,-83.75,13,
42.4,-83.75,14,
42.45,-83.75,15,
42.5,-83.75,16,
42.55,-83.75,15,
42.6,-83.75,13,
42.65,-83.75,11,
42.7,-83.75,9,
42.75,-83.75,9,
42.8,-83.75,5,
42.85,-83.75,3,
42.9,-83.75,1,
42.95,-83.75,0,
43,-83.75,0,
43.05,-83.75,0,
42,-83.7,0,
42.05,-83.7,0,
42.1,-83.7,0,
42.15,-83.7,1,
42.2,-83.7,3,
42.25,-83.7,8,
42.3,-83.7,13,
42.35,-83.7,16,
42.4,-83.7,18,
42.45,-83.7,24,
42.5,-83.7,24,
42.55,-83.7,22,
42.6,-83.7,20,
42.65,-83.7,18,
42.7,-83.7,14,
42.75,-83.7,10,
42.8,-83.7,6,
42.85,-83.7,5,
42.9,-83.7,2,
42.95,-83.7,0,
43,-83.7,0,
43.05,-83.7,0,
42,-83.65,0,
42.05,-83.65,0,
42.1,-83.65,1,
42.15,-83.65,3,
42.2,-83.65,6,
42.25,-83.65,11,
42.3,-83.65,17,
42.35,-83.65,20,
42.4,-83.65,24,
42.45,-83.65,29,
42.5,-83.65,31,
42.55,-83.65,31,
42.6,-83.65,26,
42.65,-83.65,23,
42.7,-83.65,18,
42.75,-83.65,13,
42.8,-83.65,12,
42.85,-83.65,6,
42.9,-83.65,2,
42.95,-83.65,1,
43,-83.65,0,
43.05,-83.65,0,
42,-83.6,0,
42.05,-83.6,1,
42.1,-83.6,2,
42.15,-83.6,5,
42.2,-83.6,11,
42.25,-83.6,17,
42.3,-83.6,21,
42.35,-83.6,26,
42.4,-83.6,28,
42.45,-83.6,34,
42.5,-83.6,36,
42.55,-83.6,41,
42.6,-83.6,37,
42.65,-83.6,30,
42.7,-83.6,23,
42.75,-83.6,18,
42.8,-83.6,13,
42.85,-83.6,9,
42.9,-83.6,4,
42.95,-83.6,2,
43,-83.6,0,
43.05,-83.6,0,
42,-83.55,1,
42.05,-83.55,2,
42.1,-83.55,5,
42.15,-83.55,9,
42.2,-83.55,15,
42.25,-83.55,25,
42.3,-83.55,27,
42.35,-83.55,30,
42.4,-83.55,36,
42.45,-83.55,42,
42.5,-83.55,44,
42.55,-83.55,46,
42.6,-83.55,46,
42.65,-83.55,36,
42.7,-83.55,30,
42.75,-83.55,21,
42.8,-83.55,17,
42.85,-83.55,12,
42.9,-83.55,9,
42.95,-83.55,2,
43,-83.55,0,
43.05,-83.55,0,
42,-83.5,2,
42.05,-83.5,2,
42.1,-83.5,6,
42.15,-83.5,10,
42.2,-83.5,20,
42.25,-83.5,27,
42.3,-83.5,33,
42.35,-83.5,37,
42.4,-83.5,45,
42.45,-83.5,52,
42.5,-83.5,51,
42.55,-83.5,57,
42.6,-83.5,54,
42.65,-83.5,43,
42.7,-83.5,36,
42.75,-83.5,29,
42.8,-83.5,20,
42.85,-83.5,14,
42.9,-83.5,11,
42.95,-83.5,4,
43,-83.5,0,
43.05,-83.5,0,
42,-83.45,3,
42.05,-83.45,5,
42.1,-83.45,13,
42.15,-83.45,15,
42.2,-83.45,22,
42.25,-83.45,29,
42.3,-83.45,34,
42.35,-83.45,41,
42.4,-83.45,49,
42.45,-83.45,59,
42.5,-83.45,61,
42.55,-83.45,63,
42.6,-83.45,58,
42.65,-83.45,52,
42.7,-83.45,44,
42.75,-83.45,36,
42.8,-83.45,24,
42.85,-83.45,16,
42.9,-83.45,12,
42.95,-83.45,6,
43,-83.45,1,
43.05,-83.45,0,
42,-83.4,4,
42.05,-83.4,8,
42.1,-83.4,15,
42.15,-83.4,19,
42.2,-83.4,27,
42.25,-83.4,32,
42.3,-83.4,37,
42.35,-83.4,46,
42.4,-83.4,56,
42.45,-83.4,64,
42.5,-83.4,64,
42.55,-83.4,65,
42.6,-83.4,66,
42.65,-83.4,58,
42.7,-83.4,53,
42.75,-83.4,43,
42.8,-83.4,30,
42.85,-83.4,19,
42.9,-83.4,12,
42.95,-83.4,8,
43,-83.4,1,
43.05,-83.4,0,
42,-83.35,8,
42.05,-83.35,11,
42.1,-83.35,15,
42.15,-83.35,19,
42.2,-83.35,25,
42.25,-83.35,32,
42.3,-83.35,37,
42.35,-83.35,49,
42.4,-83.35,60,
42.45,-83.35,66,
42.5,-83.35,64,
42.55,-83.35,66,
42.6,-83.35,64,
42.65,-83.35,61,
42.7,-83.35,53,
42.75,-83.35,43,
42.8,-83.35,33,
42.85,-83.35,23,
42.9,-83.35,16,
42.95,-83.35,9,
43,-83.35,4,
43.05,-83.35,0,
42,-83.3,8,
42.05,-83.3,10,
42.1,-83.3,15,
42.15,-83.3,19,
42.2,-83.3,23,
42.25,-83.3,31,
42.3,-83.3,35,
42.35,-83.3,44,
42.4,-83.3,55,
42.45,-83.3,60,
42.5,-83.3,65,
42.55,-83.3,64,
42.6,-83.3,63,
42.65,-83.3,62,
42.7,-83.3,56,
42.75,-83.3,49,
42.8,-83.3,35,
42.85,-83.3,26,
42.9,-83.3,18,
42.95,-83.3,9,
43,-83.3,6,
43.05,-83.3,1,
42,-83.25,9,
42.05,-83.25,10,
42.1,-83.25,14,
42.15,-83.25,18,
42.2,-83.25,22,
42.25,-83.25,27,
42.3,-83.25,33,
42.35,-83.25,42,
42.4,-83.25,51,
42.45,-83.25,56,
42.5,-83.25,60,
42.55,-83.25,62,
42.6,-83.25,65,
42.65,-83.25,63,
42.7,-83.25,55,
42.75,-83.25,46,
42.8,-83.25,38,
42.85,-83.25,25,
42.9,-83.25,19,
42.95,-83.25,11,
43,-83.25,6,
43.05,-83.25,2,
42,-83.2,8,
42.05,-83.2,10,
42.1,-83.2,13,
42.15,-83.2,17,
42.2,-83.2,20,
42.25,-83.2,24,
42.3,-83.2,30,
42.35,-83.2,40,
42.4,-83.2,47,
42.45,-83.2,53,
42.5,-83.2,57,
42.55,-83.2,56,
42.6,-83.2,61,
42.65,-83.2,61,
42.7,-83.2,58,
42.75,-83.2,43,
42.8,-83.2,34,
42.85,-83.2,24,
42.9,-83.2,20,
42.95,-83.2,12,
43,-83.2,6,
43.05,-83.2,1,
42,-83.15,8,
42.05,-83.15,9,
42.1,-83.15,11,
