courses long,courses short,city,county,Type,google rating,slope,latitude,longitude
Bay Pointe Golf Club,Bay Pointe,West Bloomfield Township,Oakland,Public,3.9,121,42.5820236,-83.4399
Beacon Hill Golf Club,Beacon Hill,Commerce Township,Oakland,Public,4.3,126,42.6083925,-83.5326
Bee Tee Golf Course,Bee Tee,Macomb,Macomb,Public,3.7,132,42.6475784,-82.8807
Bello Woods Golf Course,Bello Woods,Macomb,Macomb,Public,3.9,110,42.6725082,-82.8718
Birmingham Country Club,Birmingham CC,Birmingham,Oakland,Private,4.7,129,42.5331268,-83.2343
Blackheath Golf Club,Blackheath,Oakland Township,Oakland,Public,3.7,125,42.7515637,-83.1345
Bloomfield Hills Country Club,Bloomfield Hills CC,Bloomfield Hills,Oakland,Private,4.4,128,42.5829062,-83.2526
Boulder Pointe Golf Club,Boulder Pointe,Oxford,Oakland,Public,4.3,130,42.834254,-83.2777
Brae Burn Golf Club,Brae Burn,Plymouth Township,Wayne,Public,3.7,123,42.3912925,-83.5511
Brentwood Golf Club,Brentwood,White Lake,Oakland,Public,4.1,119,42.6184413,-83.5258
Brookwood,Brookwood ,Rochester Hills,Oakland,Private,4.6,125,42.69397,-83.1748
Bruce Hills Public Golf Course,Bruce Hills,Bruce Township,Macomb,Public,3.8,106,42.824,-83.0517
Bushwood Golf Course,Bushwood,Northville,Wayne,Public,4.3,90,42.4054174,-83.4336
Cedar Glen Golf and Outing,Cedar Glen,New Baltimore,Macomb,Public,3.7,116,42.7053666,-82.7472
Chandler Park Golf Course,Chandler Park,Detroit,Wayne,Public,4.2,104,42.3971545,-82.9729
Cherry Creek Golf Club,Cherry Creek,Shelby Township,Macomb,Public,4.5,124,42.6769759,-83.0214
Copper Creek Golf Course,Copper Creek,Farmington Hills,Oakland,Public,4.2,114,42.4983563,-83.4241
Copper Hills Golf Club,Copper Hills,Oxford,Oakland,Public,3.9,134,42.8273195,-83.1829
Country Club of Detroit,Country Club of Detroit,Grosse Pointe Farms,Wayne,Private,4.6,131,42.4147241,-82.8941
Coyote Golf Club,Coyote,New Hudson,Oakland,Public,4.1,133,42.4975715,-83.6124
Cracklewood Golf Club,Cracklewood,Macomb,Macomb,Public,3.9,121,42.6896171,-82.9429
Dearborn Country Club,Dearborn CC,Dearborn,Wayne,Private,4.5,124,42.3177515,-83.2545
Dearborn Hills Golf Course,Dearborn Hills,Dearborn,Wayne,Public,3.6,100,42.301256,-83.2736
Detroit Golf Club,Detroit Golf Club,Detroit,Wayne,Private,4.7,125,42.42628,-83.1262
Downing Farms Golf Course,Downing Farms,Northville,Wayne,Public,3.8,115,42.4183758,-83.6045
Edgewood Country Club,Edgewood,Commerce Township,Oakland,Private,4.7,128,42.5898478,-83.4501
Evergreen Hills Golf Course,Evergreen Hills,Southfield,Oakland,Public,4,108,42.4791174,-83.2357
Farmington Hills Golf Club,Farmington Hills,Farmington Hills,Oakland,Public,4.2,118,42.4825756,-83.4191
Fellows Creek Golf Club,Fellows Creek,Canton Township,Wayne,Public,4.2,119,42.2861686,-83.4387
Fern Hill Golf Club,Fern Hill,Clinton Township,Macomb,Public,4.1,112,42.5822095,-82.9422
Fieldstone Golf Club,Fieldstone,Auburn Hills,Oakland,Public,3.9,134,42.6881525,-83.2563
Forest Lake Country Club,Forest Lake,Bloomfield Township,Oakland,Private,4.6,132,42.596914,-83.2972
Fountains Golf & Banquet,Fountains,Village of Clarkston,Oakland,Public,4.4,119,42.719551,-83.3906
Fox Creek Golf Course,Fox Creek,Livonia,Wayne,Public,4.4,118,42.4272129,-83.3982
Fox Hills Golf & Banquet Center,Fox Hills,Plymouth,Wayne,Public,4.6,125,42.3628588,-83.5931
Franklin Hills Country Club,Franklin Hills,Franklin,Oakland,Private,4.4,133,42.5195905,-83.3233
Gateway Golf Club,Gateway,Romulus,Wayne,Public,4.2,128,42.2665742,-83.3631
Glacier Club,Glacier Club,Washington,Macomb,Public,0,126,42.7353138,-83.0385
Glen Oaks Golf Course,Glen Oaks,Farmington Hills,Oakland,Public,4.4,118,42.5143666,-83.3526
Glenhurst Golf Course,Glenhurst,Redford Township,Wayne,Public,4.3,109,42.41393,-83.2910
Gowanie Golf Club,Gowanie,Harrison Township,Macomb,Private,4.7,124,42.5894953,-82.8612
Great Oaks Country Club,Great Oaks,Rochester Hills,Oakland,Private,4.6,131,42.6852366,-83.1492
Greystone Golf Club,Greystone,Washington,Macomb,Public,4.4,139,42.7923316,-83.0573
